"segmento";"nome";"id";"site";"ticker";"pregao";"ano";"tipo_form";"data_form";"ativo";"pl";"rec_liq";"lucro_bruto";"lucro_liq";"EBIT";"deprec_amort";"EBITDA";"margem_liq";"div_curto_prazo";"div_longo_prazo";"caixa";"div_liq";"div_total";"size";"acoes";"leverage";"EBIT.rate";"ROA";"ROE";"GAO";"main.sector";"sector.activity";"sub.sector";"listagem";"ibovespa"
"Motores . Compressores e Outros";"WEG SA";5410;"www.weg.net/br";"WEGE3";"WEG";2012;"DFP";2012-12-31;8873550;4151626;6173878;1880856;664864;808411;208337;1016748;10,77;1645772;1044068;2563500;0,12;2689840;15,9985854996961;2098658999;0,3;0,13;0,11;0,16;0,43;"Bens Industriais";"Emp. Adm. Part. - M�qs., Equip., Ve�c. e Pe�as";"M�quinas e Equipamentos";"Novo Mercado";TRUE
"Motores . Compressores e Outros";"WEG SA";5410;"www.weg.net/br";"WEGE3";"WEG";2013;"DFP";2013-12-31;10141293;4642267;6828896;2236766;845304;1011753;218279;1230032;12,38;912796;2296208;3373799;-0,13;3209004;16,1321260627909;2098658999;0,32;0,15;0,12;0,18;0,45;"Bens Industriais";"Emp. Adm. Part. - M�qs., Equip., Ve�c. e Pe�as";"M�quinas e Equipamentos";"Novo Mercado";TRUE
"Motores . Compressores e Outros";"WEG SA";5410;"www.weg.net/br";"WEGE3";"WEG";2014;"DFP";2014-12-31;11782630;5139263;7840757;2484497;962316;1094352;250477;1344829;12,27;1466752;2625398;4193177;-0,08;4092150;16,2821369710313;2098658999;0,35;0,14;0,11;0,19;0,44;"Bens Industriais";"Emp. Adm. Part. - M�qs., Equip., Ve�c. e Pe�as";"M�quinas e Equipamentos";"Novo Mercado";TRUE
"Motores . Compressores e Outros";"WEG SA";5410;"www.weg.net/br";"WEGE3";"WEG";2015;"DFP";2015-12-31;14261541;6156060;9760323;2765588;1165810;1158245;319358;1477603;11,94;1284633;3868335;4434759;0,49;5152968;16,473077031628;2098658999;0,36;0,12;0,1;0,19;0,42;"Bens Industriais";"Emp. Adm. Part. - M�qs., Equip., Ve�c. e Pe�as";"M�quinas e Equipamentos";"Novo Mercado";TRUE
"Motores . Compressores e Outros";"WEG SA";5410;"www.weg.net/br";"WEGE3";"WEG";2016;"DFP";2016-12-31;13509331;6070832;9367008;2635779;1127832;1063674;343257;1406931;12,04;991433;3408892;4763949;-0,26;4400325;16,4188911898354;2098658999;0,33;0,11;0,1;0,19;0,4;"Bens Industriais";"Emp. Adm. Part. - M�qs., Equip., Ve�c. e Pe�as";"M�quinas e Equipamentos";"Novo Mercado";TRUE
"Motores . Compressores e Outros";"WEG SA";5410;"www.weg.net/br";"WEGE3";"WEG";2017;"DFP";2017-12-31;13985987;6843307;9523830;2758447;1140942;1182412;283875;1466287;11,98;2014530;2041912;4573731;-0,35;4056442;16,4535664577446;2098658999;0,29;0,12;0,1;0,17;0,43;"Bens Industriais";"Emp. Adm. Part. - M�qs., Equip., Ve�c. e Pe�as";"M�quinas e Equipamentos";"Novo Mercado";TRUE
"Motores . Compressores e Outros";"WEG SA";5410;"www.weg.net/br";"WEGE3";"WEG";2018;"DFP";2018-12-31;15399850;7853257;11970090;3469274;1344148;1507031;317023;1824054;11,23;2049093;1723021;3529888;0,13;3772114;16,5498683270767;2098658999;0,24;0,13;0,12;0,17;0,43;"Bens Industriais";"Emp. Adm. Part. - M�qs., Equip., Ve�c. e Pe�as";"M�quinas e Equipamentos";"Novo Mercado";TRUE
"Motores . Compressores e Outros";"WEG SA";5410;"www.weg.net/br";"WEGE3";"WEG";2019;"DFP";2019-12-31;15687641;8929990;13347434;3953268;1632455;1847734;396783;2244517;12,23;936370;1348599;3390271;-0,49;2284969;16,5683837628637;2098658999;0,15;0,14;0,14;0,18;0,47;"Bens Industriais";"Emp. Adm. Part. - M�qs., Equip., Ve�c. e Pe�as";"M�quinas e Equipamentos";"Novo Mercado";TRUE
"Motores . Compressores e Outros";"WEG SA";5410;"www.weg.net/br";"WEGE3";"WEG";2020;"DFP";2020-12-31;19927896;11930298;17469557;5437507;2395957;2816324;451359;3267683;13,72;642284;1044296;4484934;-0,86;1686580;16,8076311171229;2098658999;0,08;0,16;0,16;0,2;0,52;"Bens Industriais";"Emp. Adm. Part. - M�qs., Equip., Ve�c. e Pe�as";"M�quinas e Equipamentos";"Novo Mercado";TRUE
"Motores . Compressores e Outros";"WEG SA";5410;"www.weg.net/br";"WEGE3";"WEG";2021;"ITR";2021-09-30;22500301;13139772;17023328;5153060;2763554;3173195;380385;3553580;16,23;1031609;603600;2942361;-0,37;1635209;16,9290392448629;2098658999;0,07;0,19;0,16;0,21;0,62;"Bens Industriais";"Emp. Adm. Part. - M�qs., Equip., Ve�c. e Pe�as";"M�quinas e Equipamentos";"Novo Mercado";TRUE
